"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Effort estimation from change records of evolving software","J. F. Ramil; M. M. Lehman","Dept. of Comput., Imperial Coll. of Sci., Technol. & Med., London, UK; NA","Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium","6 Aug 2002","2000","","","777","","Algorithmic cost estimation in the context of software evolution is being addressed as part of the FEAST/2 project with encouraging results from an industrial case study. The paper considers the approach and case study.","0270-5257","1-58113-206-9","10.1145/337180.337633","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=870498","","Costs;Power system modeling;Software algorithms;Software maintenance;Software engineering;Lab-on-a-chip;Data mining;Predictive models;Educational institutions;Software measurement","software cost estimation;software metrics;software maintenance","effort estimation;change records;software evolution;algorithmic cost estimation;FEAST 2 project;case study;software metrics;software maintenance","","3","","4","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Software metrics in student projects","V. Ljubovic; N. Nosovic","Elektrotehnički fakultet Sarajevo, Zmaja od Bosne b.b.; Elektrotehnički fakultet Sarajevo, Zmaja od Bosne b.b.","2012 20th Telecommunications Forum (TELFOR)","24 Jan 2013","2012","","","1464","1467","Software Engineering is an important part of modern Computer Engineering education. A comprehensive course in Software Engineering should include a topic on software metrics. Also, a number of courses practice handing team projects to students. In this paper a number of software metrics are applied to projects developed by students with the purpose of estimating overall team effort. In this way, conclusions are formed about usefulness of these metrics in the context of teaching software engineering.","","978-1-4673-2984-2","10.1109/TELFOR.2012.6419495","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6419495","","","computer science education;educational courses;project management;software cost estimation;software metrics;teaching","software metrics;student projects;software engineering teaching;computer engineering education;overall team effort estimation","","","","16","","24 Jan 2013","","","IEEE","IEEE Conferences"
"Cost implications of interrater agreement for software process assessments","K. El Emam; J. -. Simon; S. Rousseau; E. Jacquet","Fraunhofer Inst. for Exp. Software Eng., Kaiserslautern, Germany; NA; NA; NA","Proceedings Fifth International Software Metrics Symposium. Metrics (Cat. No.98TB100262)","6 Aug 2002","1998","","","38","51","Much empirical research has been done on evaluating and modeling interrater agreement in software process assessments. Interrater agreement is the extent to which assessors agree in their ratings of software process capabilities when presented with the same evidence and performing their ratings independently. This line of research was based on the premise that lack of interrater agreement can lead to erroneous decisions from process assessment scores. However, thus far we do not know the impact of interrater agreement on the cost of assessments. We report on a study that evaluates the relationship between interrater agreement and the cost of the consolidation activity in assessments. The study was conducted in the context of two assessments using the emerging international standard ISO/IEC 15504. Our results indicate that for organizational processes, the relationship is strong and in the expected direction. For project level processes no relationship was found. These results indicate that for assessments that include organizational processes in their scope, ensuring high interrater agreement could lead to a reduction in their costs.","","0-8186-9201-4","10.1109/METRIC.1998.731225","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=731225","","Costs;ISO standards;IEC standards;Software standards;Software engineering;Coordinate measuring machines;Appraisal;Testing;Writing","software cost estimation;software process improvement;software metrics;software standards;ISO standards","software cost;interrater agreement;software process assessments;consolidation activity;international standard;ISO IEC 15504;organizational processes;project level processes;software metrics","","6","","32","","6 Aug 2002","","","IEEE","IEEE Conferences"
"An experiment for evaluating the effectiveness of using a system dynamics simulation model in software project management education","D. Pfahl; N. Koval; G. Ruhe","Fraunhofer IESE, Kaiserslautern, Germany; NA; NA","Proceedings Seventh International Software Metrics Symposium","7 Aug 2002","2001","","","97","109","Due to increasing demand for software project managers in industry, efforts are needed to develop the management-related knowledge and skills of the current and future software workforce. In particular, university education needs to provide to their computer science students not only with technology-related skills but, in addition, a basic understanding of typical phenomena occurring in industrial (and academic) software projects. The paper presents a controlled experiment that evaluates the effectiveness of using a process simulation model for university education in software project management. The experiment uses a pre-test-post-test control group design with random assignment of computer science students. The treatment of the experimental group involves a system dynamics simulation model. The treatment of the control group involves a conventional predictive model for project planning, i.e. the well-known COCOMO model. In addition to the presentation of the results of the empirical study, the paper discusses limitations and threats to validity. Proposals for modifications of the experimental design and the treatments are made for future replications.","1530-1435","0-7695-1043-4","10.1109/METRIC.2001.915519","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=915519","","Project management;Knowledge management;Software development management;Computer industry;Computer science education;Computer science;Computational modeling;Predictive models;Educational technology;Proposals","computer science education;teaching;project management;digital simulation;software development management;software cost estimation;software metrics","system dynamics simulation model;software project management education;software project managers;software workforce;university education;computer science students;technology-related skills;controlled experiment;process simulation model;pre-test-post-test control group design;random assignment;predictive model;project planning;COCOMO model","","2","","22","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Increasing the accuracy and reliability of analogy-based cost estimation with extensive project feature dimension weighting","M. Auer; S. Biffl","Inst. of Software Technol. & Interactive Syst., Vienna Univ. of Technol., Austria; Inst. of Software Technol. & Interactive Syst., Vienna Univ. of Technol., Austria","Proceedings. 2004 International Symposium on Empirical Software Engineering, 2004. ISESE '04.","20 Sep 2004","2004","","","147","155","Accurate and reliable software cost estimation is a vital task in software project portfolio decisions like resource scheduling or bidding. A prominent and transparent method of supporting estimators is analogy-based cost estimation, which is based on finding similar projects in historical portfolio data. However, the various project feature dimensions used to determine project analogy represent project aspects differing widely in their relevance; they are known to have varying impact on the analogies - and in turn on the overall estimation accuracy and reliability - , which is not addressed by traditional approaches. This paper (a) proposes an improved analogy-based approach based on extensive dimension weighting, and (ii) empirically evaluates the accuracy and reliability improvements in the context of five real-world portfolio data sets. Main results are accuracy and reliability improvements for all analyzed portfolios and quality measures. Furthermore, the approach indicates a quality barrier for analogy-based estimation approaches using the same basic assumptions and quality measures.","","0-7695-2165-7","10.1109/ISESE.2004.1334902","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1334902","","Costs;Portfolios;Yield estimation;Software quality;Mathematical model;Interactive systems;Software measurement;Resource management;Risk management;Software metrics","software cost estimation;software management","cost estimation accuracy;cost estimation reliability;analogy-based cost estimation;feature dimension weighting;software accuracy;software reliability;software cost estimation;software project portfolio decisions;resource scheduling;resource bidding;estimators support;historical portfolio data;quality measures","","15","","18","","20 Sep 2004","","","IEEE","IEEE Conferences"
"Definition of software metrics for software project development by using fuzzy sets and logic","S. Mirseidova; L. Atymtayeva","Kazakh-British Technical University, Tole bi st., 59, Almaty, Kazakhstan; Kazakh-British Technical University, Tole bi st., 59, Almaty, Kazakhstan","The 6th International Conference on Soft Computing and Intelligent Systems, and The 13th International Symposium on Advanced Intelligence Systems","22 Apr 2013","2012","","","272","276","Software metrics measure certain properties of the software or its specifications. As quantitative measurements are required in all the sciences, there are ongoing efforts among computer science practitioners and academics to apply analogous approaches to software development process. The main aim is to provide objective, reproducible and quantitative measure that can have many useful applications in such important parts of software project management as the schedule and budget planning, cost estimation, quality assurance, software debugging, performance optimization and optimal staff task assignments as well as in the whole software development life cycle. There exist a number of techniques for modeling software metrics including FPA estimation (mean-based, median-based), LS regression, LMS regression, Neural Networks, and Fuzzy Logic. In this paper we are going to talk about singularities of applying Fuzzy Logic approach to the software metrics modeling.","","978-1-4673-2743-5","10.1109/SCIS-ISIS.2012.6505336","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6505336","software project management;fuzzy logic and sets;software metrics","","fuzzy logic;fuzzy set theory;software development management;software metrics","software metrics;software project development;fuzzy set;software specification;software property;quantitative measurement;schedule management;budget planning;cost estimation;quality assurance;software debugging;performance optimization;staff task assignment;software development life cycle;FPA estimation;mean-based estimation;median-based estimation;LS regression;least squares regression;LMS regression;least mean squares regression;neural network;fuzzy logic","","","","14","","22 Apr 2013","","","IEEE","IEEE Conferences"
"Software Cost Estimation Framework for Service-Oriented Architecture Systems Using Divide-and-Conquer Approach","Z. Li; J. Keung","Sch. of Comput. Sci. & Eng., NICTA & UNSW, Sydney, NSW, Australia; Sch. of Comput. Sci. & Eng., NICTA & UNSW, Sydney, NSW, Australia","2010 Fifth IEEE International Symposium on Service Oriented System Engineering","13 Sep 2010","2010","","","47","54","Due to the complexity of Service-Oriented Architecture (SOA), cost and effort estimation for SOA-based software development is more difficult than that for traditional software development. Unfortunately, there is a lack of published work about cost and effort estimation for SOA-based software. Existing cost estimation approaches are inadequate to address the complex service-oriented systems. This paper proposes a novel framework based on Divide-and-Conquer (D&C) for cost estimation for building SOA-based software. By dealing with separately development parts, the D&C framework can help organizations simplify and regulate SOA implementation cost estimation. Furthermore, both cost estimation modeling and software sizing work can be satisfied respectively by switching the corresponding metrics within this framework. Given the requirement of developing these metrics, this framework also defines the future research in four different directions according to the separate cost estimation sub-problems.","","978-1-4244-7326-7","10.1109/SOSE.2010.29","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5569930","service-oriented architecture (SOA);software cost estimation;divide-and-conquer (D&C);framework","Estimation;Service oriented architecture;Software;Programming;Complexity theory;Size measurement;Software measurement","divide and conquer methods;software architecture;software cost estimation;software metrics;Web services","software cost estimation framework;service-oriented architecture system complexity;divide-and-conquer approach;SOA-based software development","","13","","25","","13 Sep 2010","","","IEEE","IEEE Conferences"
"Software size measurement of student information terminal with use case point","D. Kurniadi; Sasmoko; H. L. H. S. Warnars; F. L. Gaol","Computer Science Department, BINUS Graduate Program - Doctor, of Computer Science, Bina Nusantara University Jakarta, Indonesia 11480; Primary Teacher Education, Department, Faculty of Humanities, Bina Nusantara University Jakarta, Indonesia 11480; Computer Science Department, BINUS Graduate, Program - Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia 11480; Computer Science Department, BINUS Graduate, Program - Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia 11480","2017 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom)","12 Mar 2018","2017","","","164","169","Student Information Terminals (S-IT) is an independent academic service information system for students, where this service makes it easy for students to obtain academic information in real time with information such as the transcript of academic achievement, finance, course, attendance, exam, lecturer, card examinees and announcements academic, and has the function to print directly the data independently on S-IT devices. To find out how well the S-IT is in terms of software size, then needed a measurement. The measurements used in this paper using the Use Case Point (UCP) method as one of the approved software metrics which measure the functionality our software size. The results of the measurement of software size S-IT shown that the project has a small size, the software has a value of UCP = 96.767 estimate effort, has the development time 1,452 hours or equivalent 9 months 1 week and have development costs in Indonesian Rupiah is 263,175,000 IDR. The aims of measurement software size S-IT with the use case point is to help make decisions about the implementation of software development application project in terms of the estimated time, costs, and people.","","978-1-5386-0784-8","10.1109/CYBERNETICSCOM.2017.8311703","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8311703","use case point;software measurement;software metrics;student information terminal;information system academic","Software;Size measurement;Software measurement;Complexity theory;Schedules;Environmental factors;Computer science","educational administrative data processing;educational institutions;information systems;software cost estimation;software development management;software metrics","student information terminal;academic achievement;Use Case Point method;software development application project;software size measurement;software metrics;academic service information system;S-IT devices;development costs","","2","","22","","12 Mar 2018","","","IEEE","IEEE Conferences"
"Empirical validation of relational database metrics for effort estimation","B. Jamil; J. Ferzund; A. Batool; S. Ghafoor","Department of Computer Science, University of Sargodha, Sargodha, Pakistan; Department of Computer Science, University of Sargodha, Sargodha, Pakistan; Department of Computer Science, University of Sargodha, Sargodha, Pakistan; Department of Computer Science, University of Sargodha, Sargodha, Pakistan","INC2010: 6th International Conference on Networked Computing","14 Jun 2010","2010","","","1","5","Measurements of certain attributes during software development process are of core importance. Number of effort estimation metrics has been proposed for software projects, while ignoring relational database applications. In this paper we propose a set of metrics to measure the effort for small scale relational database applications. We present an effort estimation model using statistical techniques that can be used by software development organizations. Our model is flexible as it can measure effort with few database objects as well as with all database objects. We have compared estimated effort with actual effort and found very promising results.","","978-89-88678-20-6","","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5484854","","Relational databases;Software measurement;Programming;Application software;Software metrics;Books;Project management;Costs;Design for experiments;System testing","relational databases;software cost estimation;software metrics","relational database metrics;effort estimation metrics;software development process are;software projects;statistical techniques","","","","11","","14 Jun 2010","","","IEEE","IEEE Conferences"
"Measuring domain engineering effects on software change cost","H. Siy; A. Mockus","Lucent Technol., Bell Labs., USA; NA","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","304","311","Domain engineering (DE) is an increasingly popular process for efficiently producing software. DE uses detailed knowledge of a particular application domain to define rigorously a family of software products within that domain. We describe a methodology for precise quantitative measurement of DE impact on software change efforts. The methodology employs measures of small software changes to determine the effect of DE. We illustrate this approach in a detailed case study of DE in a telecommunications product. In the particular case the change effort was dramatically reduced. The methodology can precisely measure cost savings in change effort and is simple and inexpensive since it relies on information automatically collected by version control systems.","","0-7695-0403-5","10.1109/METRIC.1999.809751","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=809751","","Software measurement;Costs;Productivity;Software engineering;Technology transfer;Application software;Observability;Electrical capacitance tomography;Identity-based encryption;Programming","software metrics;software cost estimation;telecommunication computing;configuration management","domain engineering;software change cost;software products;methodology;quantitative measurement;software change;case study;telecommunications software;cost savings;version control systems;software metrics","","7","","16","","6 Aug 2002","","","IEEE","IEEE Conferences"
